"","FITXA_ID","TIPUS","AREA","ELEMENT","DETALL","DIA_DATA_ALTA","MES_DATA_ALTA","ANY_DATA_ALTA","DIA_DATA_TANCAMENT","MES_DATA_TANCAMENT","ANY_DATA_TANCAMENT","CODI_DISTRICTE","DISTRICTE","CODI_BARRI","BARRI","SECCIO_CENSAL","TIPUS_VIA","CARRER","NUMERO","COORDENADA_X","COORDENADA_Y","LONGITUD","LATITUD","SUPORT","CANALS_RESPOSTA"
"1",115969,"INCIDENCIA","Mobilitat","Bicicletes","Carril bici incidències",27,9,2014,7,1,2015,3,"Sants-Montjuïc",18,"Sants",113,"Avinguda","Josep Tarradellas",1,428261.8127,4581468.824,2.142042465,41.38154612,"WEB","EMAIL"
"2",116046,"SUGGERIMENT","Mobilitat","Bicicletes","Carril bici nou / canvi lloc",13,10,2014,7,1,2015,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample",91,"Plaça","Doctor Letamendi",1,429860.965,4582231.147,2.161077391,41.3885531,"WEB","EMAIL"
"3",116326,"INCIDENCIA","Mobilitat","Bicicletes","Bicicleta abandonada",26,12,2014,7,1,2015,10,"Sant Martí",65,"el Clot",26,"Carrer","Clot",123,432240.5533,4584678.077,2.18926265,41.41079586,"MÒBIL","EMAIL"
"4",116067,"INCIDENCIA","Mobilitat","Bicicletes","Carril bici incidències",31,12,2014,7,1,2015,10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou",42,"Carrer","Sancho de Ávila",91,432481.608,4583538.189,2.19227374,41.40054952,"WEB","EMAIL"
"5",116443,"INCIDENCIA","Mobilitat","Bicicletes","Carril bici incidències",5,1,2015,8,1,2015,2,"Eixample",10,"Sant Antoni",164,"Carrer","Muntaner",16,429971.7497,4581775.192,2.162455039,41.38445612,"TELÈFON","EMAIL"
"6",117590,"QUEIXA","Mobilitat","Bicicletes","Bicicletes disciplina viària",22,11,2014,12,1,2015,10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou",49,"Carrer","Pujades",15,432148.8679,4582674.413,2.188390325,41.39274172,"WEB","EMAIL"
"7",117463,"INCIDENCIA","Mobilitat","Bicicletes","Bicicleta abandonada",10,12,2014,12,1,2015,6,"Gràcia",31,"la Vila de Gràcia",30,"Carrer","Escorial",41,429848.4112,4584367.741,2.160679701,41.40779555,"WEB","IMMEDIATA"
"8",117452,"INCIDENCIA","Mobilitat","Bicicletes","Bicicleta abandonada",22,12,2014,12,1,2015,6,"Gràcia",31,"la Vila de Gràcia",43,"Carrer","Neptú",26,429307.4543,4583307.281,2.154332006,41.398197,"TELÈFON","IMMEDIATA"
"9",117396,"INCIDENCIA","Mobilitat","Bicicletes","Bicicleta abandonada",10,1,2015,12,1,2015,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",53,"Carrer","Portal Nou",29,431499.4237,4582250.541,2.180670614,41.38886898,"TELÈFON","IMMEDIATA"
"10",118283,"INCIDENCIA","Mobilitat","Bicicletes","Bicicleta abandonada",28,12,2014,13,1,2015,10,"Sant Martí",68,"el Poblenou",64,"Carrer","Pallars",232,433149.4219,4583787.073,2.2002346,41.40284694,"TELÈFON","IMMEDIATA"
"11",118353,"INCIDENCIA","Mobilitat","Bicicletes","Bicicleta abandonada",21,12,2014,14,1,2015,2,"Eixample",9,"la Nova Esquerra de l'Eixample",121,"Carrer","Mallorca",56,428860.6754,4581691.64,2.149177682,41.38360611,"WEB","IMMEDIATA"
"12",118359,"INCIDENCIA","Mobilitat","Bicicletes","Bicicleta abandonada",2,1,2015,14,1,2015,2,"Eixample",9,"la Nova Esquerra de l'Eixample",146,"Carrer","Diputació",48,429117.232,4581196.102,2.152303726,41.37916562,"TELÈFON","IMMEDIATA"
"13",118371,"INCIDENCIA","Mobilitat","Bicicletes","Bicicleta abandonada",10,1,2015,14,1,2015,2,"Eixample",9,"la Nova Esquerra de l'Eixample",144,"Gran Via","Corts Catalanes",521,429603.3612,4581515.94,2.15807965,41.38208897,"TELÈFON","IMMEDIATA"
"14",119276,"INCIDENCIA","Mobilitat","Bicicletes","Bicicleta abandonada",3,1,2015,15,1,2015,3,"Sants-Montjuïc",13,"la Marina de Port",212,"Parc","Can Sabater",0,427926.9117,4579429.423,2.138280075,41.36314804,"TELÈFON","IMMEDIATA"
"15",118917,"INCIDENCIA","Mobilitat","Bicicletes","Bicicleta abandonada",5,1,2015,15,1,2015,2,"Eixample",10,"Sant Antoni",169,"Ronda","Sant Pau",43,430172.8358,4580955.724,2.164954228,41.37709291,"MÒBIL","EMAIL"
"16",118918,"INCIDENCIA","Mobilitat","Bicicletes","Bicicleta abandonada",5,1,2015,15,1,2015,2,"Eixample",10,"Sant Antoni",169,"Ronda","Sant Pau",43,430172.8358,4580955.724,2.164954228,41.37709291,"MÒBIL","EMAIL"
"17",119592,"INCIDENCIA","Mobilitat","Bicicletes","Carril bici incidències",15,1,2015,16,1,2015,1,"Ciutat Vella",1,"el Raval",1,"Avinguda","Drassanes",1,431098.7632,4580819.912,2.176041497,41.3759495,"WEB","EMAIL"
"18",120585,"INCIDENCIA","Mobilitat","Bicicletes","Carril bici incidències",8,1,2015,20,1,2015,8,"Nou Barris",52,"la Prosperitat",83,"Via","Júlia",4,431098.8372,4587799.938,2.1752477,41.43881627,"TELÈFON","EMAIL"
"19",120845,"QUEIXA","Mobilitat","Bicicletes","Bicicletes disciplina viària",8,1,2015,21,1,2015,2,"Eixample",9,"la Nova Esquerra de l'Eixample",142,"Carrer","Calàbria",119,429227.2464,4581357.473,2.15360042,41.38062871,"TELÈFON","EMAIL"
"20",121262,"INCIDENCIA","Mobilitat","Bicicletes","Servei bicing incidències",14,1,2015,21,1,2015,NA,"",NA,"",NA,"","",NA,NA,NA,NA,NA,"TELÈFON","EMAIL"
"21",121257,"SUGGERIMENT","Mobilitat","Bicicletes","Servei bicing estació nova / canvi de lloc",15,1,2015,21,1,2015,NA,"",NA,"",NA,"","",NA,NA,NA,NA,NA,"WEB","EMAIL"
"22",121259,"INCIDENCIA","Mobilitat","Bicicletes","Servei bicing incidències",16,1,2015,21,1,2015,NA,"",NA,"",NA,"","",NA,NA,NA,NA,NA,"WEB","EMAIL"
"23",121205,"INCIDENCIA","Mobilitat","Bicicletes","Servei bicing incidències",21,1,2015,21,1,2015,10,"Sant Martí",70,"el Besòs i el Maresme",87,"Rambla","Prim",146,434014.1463,4585507.062,2.210391195,41.41840987,"MÒBIL","EMAIL"
"24",121505,"QUEIXA","Mobilitat","Bicicletes","Bicicletes disciplina viària",15,1,2015,22,1,2015,4,"Les Corts",20,"la Maternitat i Sant Ramon",37,"Carrer","Conxita Supervia",3,427039.2454,4581280.589,2.127445368,41.37974082,"WEB","EMAIL"
"25",121798,"SUGGERIMENT","Mobilitat","Bicicletes","Servei bicing estació nova / canvi de lloc",21,1,2015,22,1,2015,NA,"",NA,"",NA,"","",NA,NA,NA,NA,NA,"WEB","EMAIL"
"26",121908,"QUEIXA","Mobilitat","Bicicletes","Bicicletes disciplina viària",19,12,2014,23,1,2015,10,"Sant Martí",72,"Sant Martí de Provençals",122,"Carrer","Andrade",176,433367.2749,4585329.175,2.202670827,41.41675432,"WEB","EMAIL"
"27",122018,"INCIDENCIA","Mobilitat","Bicicletes","Bicicleta abandonada",23,12,2014,23,1,2015,6,"Gràcia",31,"la Vila de Gràcia",43,"Carrer","Neptú",26,429307.4543,4583307.281,2.154332006,41.398197,"TELÈFON","IMMEDIATA"
"28",121916,"QUEIXA","Mobilitat","Bicicletes","Bicicletes disciplina viària",8,1,2015,23,1,2015,10,"Sant Martí",65,"el Clot",40,"Avinguda","Meridiana",88,432061.9795,4584225.116,2.187177086,41.4067011,"TELÈFON","EMAIL"
"29",121808,"INCIDENCIA","Mobilitat","Bicicletes","Bicicleta abandonada",11,1,2015,23,1,2015,2,"Eixample",7,"la Dreta de l'Eixample",83,"Rambla","Catalunya",124,429616.2612,4582970.958,2.158064856,41.39519495,"WEB","EMAIL"
"30",121820,"INCIDENCIA","Mobilitat","Bicicletes","Bicicleta abandonada",16,1,2015,23,1,2015,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample",106,"Carrer","Muntaner",223,428921.809,4582818.683,2.149776516,41.39376238,"TELÈFON","IMMEDIATA"
"31",122664,"INCIDENCIA","Mobilitat","Bicicletes","Bicicleta abandonada",20,1,2015,26,1,2015,10,"Sant Martí",64,"el Camp de l'Arpa del Clot",20,"Carrer","Degà Bahí",16,431773.6218,4584708.133,2.183672999,41.41102706,"TELÈFON","IMMEDIATA"
"32",122675,"QUEIXA","Mobilitat","Bicicletes","Bicicletes disciplina viària",22,1,2015,26,1,2015,4,"Les Corts",19,"les Corts",17,"Avinguda","Josep Tarradellas",97,428309.7426,4582093.69,2.142541689,41.38717832,"WEB","EMAIL"
"33",122832,"INCIDENCIA","Mobilitat","Bicicletes","Bicicleta abandonada",19,1,2015,27,1,2015,2,"Eixample",7,"la Dreta de l'Eixample",75,"Carrer","Girona",1,431146.0787,4582454.844,2.17642148,41.3906789,"WEB","IMMEDIATA"
"34",123086,"QUEIXA","Mobilitat","Bicicletes","Bicicletes disciplina viària",20,1,2015,27,1,2015,10,"Sant Martí",64,"el Camp de l'Arpa del Clot",20,"Carrer","Degà Bahí",12,431759.2646,4584693.963,2.183502831,41.41089822,"TELÈFON","NO VOL RESPOSTA"
"35",123277,"INCIDENCIA","Mobilitat","Bicicletes","Bicicleta abandonada",25,1,2015,27,1,2015,3,"Sants-Montjuïc",14,"la Font de la Guatlla",40,"Parc","Font Florida",0,428143.6948,4579782.202,2.140829899,41.36634479,"TELÈFON","IMMEDIATA"
"36",123724,"INCIDENCIA","Mobilitat","Bicicletes","Bicicleta abandonada",31,12,2014,28,1,2015,3,"Sants-Montjuïc",15,"Hostafrancs",52,"Carrer","Moianès",70,428302.4027,4580663.54,2.142623113,41.37429683,"TELÈFON","IMMEDIATA"
